LOC_NUM,STATE_ABBR,CITY_NAME,SURFACE_WATER_SOURCE,STATION
206,NC,SOUTHPORT,Atlantic Ocean,SOUTHPORT
207,IA,PALO,NA,PALO
208,WV,WHEELING,Ohio River,WHEELING
209,ME,WISCASSET,Montseway Bay,WISCASSET
210,CT,E. HADDAM,Connecticut River,E. HADDAM
211,NY,OSWEGO,Lake Ontario,OSWEGO
212,CT,WATERFORD,Long Island Sound,WATERFORD
213,AL,SCOTTSBORO,Tennessee River,SCOTTSBORO
214,AL,DECATUR,Tennessee River,DECATUR
215,FL,HOMESTEAD,Biscayne Bay,HOMESTEAD
216,ID,BUHL,Snake River,BUHL
217,IL,MOLINE,Mississippi River,MOLINE
218,MD,LUSBY,Chesapeake Bay,LUSBY
219,NV,BOULDER CITY,Colorado River,BOULDER CITY
220,NJ,OYSTER CREEK,Oyster Creek,OYSTER CREEK
221,NY,OSSINING,Hudson River,OSSINING
222,CA,EUREKA,Humboldt Bay,EUREKA
223,NY,POUGHKEEPSIE,Hudson River,POUGHKEEPSIE
237,WA,TACOMA,NA,TACOMA
241,AL,ASHFORD,NA,ASHFORD
242,NY,SENECA,NA,SENECA
247,AL,GORDON,Chattahoochee River,GORDON
249,NC,RALEIGH,NA,RALEIGH
250,NE,RULO,Missouri River,RULO
259,OR,BRADWOOD,Columbia River,BRADWOOD
261,MS,PORT GIBSON,Mississippi River,PORT GIBSON
262,AZ,TUCSON,NA,TUCSON
268,IL,AURORA,NA,AURORA
283,FL,PLANT CITY,NA,PLANT CITY
312,VT,MONTPELIER,NA,MONTPELIER
324,PC,PANAMA,NA,PANAMA
333,MA,WORCESTER,NA,WORCESTER
334,MN,MINNEAPOLIS,NA,MINNEAPOLIS
339,VI,ST. THOMAS,NA,ST. THOMAS
340,IA,IOWA CITY,NA,IOWA CITY
344,WY,CHEYENNE,NA,CHEYENNE
346,VA,VIRGINIA BEACH,NA,VIRGINIA BEACH
348,KY,FRANKFORT,NA,FRANKFORT
351,WA,OLYMPIA,NA,OLYMPIA
352,IL,ZION,Lake Michigan,ZION
366,MT,BILLINGS,NA,BILLINGS
368,TX,FORT WORTH,NA,FORT WORTH
369,NY,YAPHANK,NA,YAPHANK
370,CA,RICHMOND,NA,RICHMOND
371,CA,OAKLAND,NA,OAKLAND
377,SD,PIERRE,NA,PIERRE
429,NV,RENO,NA,RENO
445,IL,OREGON,Rock River,OREGON
446,IL,MARSEILLES,Illinois River,MARSEILLES
487,FL,ORLANDO,NA,ORLANDO
495,WI,GENOA CITY,NA,GENOA CITY
500,TX,AMARILLO,NA,AMARILLO
501,KY,PADUCAH,NA,PADUCAH
516,DE,DOVER,NA,DOVER
601,MT,KALISPELL,NA,KALISPELL
694,IL,BYRON,Rock River,BYRON
822,WI,SHAWANO,NA,SHAWANO
964,UT,ST. GEORGE,NA,ST. GEORGE
1036,NY,CROTON-ON-HUDSON,Hudson River,CROTON-ON-HUDSON
1107,AZ,YUMA,NA,YUMA
1130,IL,E. MOLINE,Mississippi River,E. MOLINE
1234,IL,W. CHICAGO,NA,W. CHICAGO
1409,SC,DOSWELL,NA,DOSWELL
1662,MN,ST. PAUL,NA,ST. PAUL
1733,OH,E. MOLINE,NA,E. MOLINE
