PROJ_NUM,STUDY_NUM,PROJ_ID,PROJ_NAME
470,5,SW 1985-4,SW 1985-4
472,1,PMNC 1985-4,PMNC 1985-4
473,3,TR 1985-4,TR 1985-4
474,4,DWCP 1985,DWCP 1985
475,4,DW 1986-1,DW 1986-1
476,5,SW 1986-1,SW 1986-1
477,1,PMN 1986-1,PMN 1986-1
478,2,RAN 1986-1,RAN 1986-1
479,2,PUUA 1985-4,PUUA 1985-4
484,3,TR 1986-1,TR 1986-1
487,1,PMNC 1986-1,PMNC 1986-1
488,2,RAN 1986-2,RAN 1986-2
489,4,DW 1986-2,DW 1986-2
490,1,PMN 1986-2,PMN 1986-2
491,5,SW 1986-2,SW 1986-2
497,3,TR 1986-2,TR 1986-2
500,4,DW 1986-3,DW 1986-3
501,1,PMN 1986-3,PMN 1986-3
502,2,RAN 1986-3,RAN 1986-3
503,5,SW 1986-3,SW 1986-3
514,2,PUUA 1986-1,PUUA 1986-1
517,3,TR 1986-3,TR 1986-3
518,2,PUUA 1986-2,PUUA 1986-2
519,1,PMN 1986-4,PMN 1986-4
520,4,DW 1986-4,DW 1986-4
521,5,SW 1986-4,SW 1986-4
522,2,RAN 1986-4,RAN 1986-4
538,1,PMNC 1986-4,PMNC 1986-4
539,2,PUUA 1986-3,PUUA 1986-3
540,2,PUUA 1986-4,PUUA 1986-4
542,3,TR 1986-4,TR 1986-4
543,3,TRCP 1986,TRCP 1986
544,5,SW 1987-1,SW 1987-1
545,4,DW 1987-1,DW 1987-1
546,1,PMN 1987-1,PMN 1987-1
547,2,RAN 1987-1,RAN 1987-1
550,4,DWCP 1986,DWCP 1986
554,1,PMNC 1987-1,PMNC 1987-1
556,3,TR 1987-1,TR 1987-1
560,1,PMN 1987-2,PMN 1987-2
561,4,DW 1987-2,DW 1987-2
562,5,SW 1987-2,SW 1987-2
563,2,RAN 1987-2,RAN 1987-2
566,1,PMNC 1987-2,PMNC 1987-2
568,2,PUUA 1987-1,PUUA 1987-1
569,2,PUUA 1987-2,PUUA 1987-2
570,3,TR 1987-2,TR 1987-2
574,3,TRCP 1987,TRCP 1987
575,1,PMN 1987-3,PMN 1987-3
576,5,SW 1987-3,SW 1987-3
577,4,DW 1987-3,DW 1987-3
578,2,RAN 1987-3,RAN 1987-3
588,3,TR 1987-3,TR 1987-3
593,1,PMN 1987-4,PMN 1987-4
594,2,RAN 1987-4,RAN 1987-4
595,4,DW 1987-4,DW 1987-4
596,5,SW 1987-4,SW 1987-4
601,1,PMNC 1987-4,PMNC 1987-4
602,3,TR 1987-4,TR 1987-4
604,2,PUUA 1987-3,PUUA 1987-3
606,4,DWCP 1987,DWCP 1987
608,5,SW 1988-1,SW 1988-1
609,4,DW 1988-1,DW 1988-1
610,2,RAN 1988-1,RAN 1988-1
611,1,PMN 1988-1,PMN 1988-1
615,2,PUUA 1987-4,PUUA 1987-4
617,1,PMNC 1988-1,PMNC 1988-1
619,3,TR 1988-1,TR 1988-1
626,1,PMN 1988-2,PMN 1988-2
627,4,DW 1988-2,DW 1988-2
628,5,SW 1988-2,SW 1988-2
629,2,RAN 1988-2,RAN 1988-2
632,2,PUUA 1988-1,PUUA 1988-1
633,1,PMNC 1988-2,PMNC 1988-2
636,3,TR 1988-2,TR 1988-2
639,3,TRCP 1988,TRCP 1988
640,1,PMN 1988-3,PMN 1988-3
641,4,DW 1988-3,DW 1988-3
642,5,SW 1988-3,SW 1988-3
643,2,RAN 1988-3,RAN 1988-3
646,2,PUUA 1988-2,PUUA 1988-2
647,3,TR 1988-3,TR 1988-3
653,1,PMN 1988-4,PMN 1988-4
654,2,RAN 1988-4,RAN 1988-4
655,4,DW 1988-4,DW 1988-4
656,5,SW 1988-4,SW 1988-4
659,3,TR 1988-4,TR 1988-4
660,1,PMNC 1988-4,PMNC 1988-4
661,2,PUUA 1988-3,PUUA 1988-3
662,4,DWCP 1988,DWCP 1988
663,1,PMN 1989-1,PMN 1989-1
664,4,DW 1989-1,DW 1989-1
665,2,RAN 1989-1,RAN 1989-1
666,5,SW 1989-1,SW 1989-1
667,2,PUUA 1988-4,PUUA 1988-4
668,1,PMNC 1989-1,PMNC 1989-1
672,3,TR 1989-1,TR 1989-1
680,4,DW 1989-2,DW 1989-2
681,1,PMN 1989-2,PMN 1989-2
682,2,RAN 1989-2,RAN 1989-2
683,5,SW 1989-2,SW 1989-2
689,3,TR 1989-2,TR 1989-2
690,1,PMNC 1989-2,PMNC 1989-2
692,1,PMN 1989-3,PMN 1989-3
693,2,RAN 1989-3,RAN 1989-3
694,5,SW 1989-3,SW 1989-3
695,4,DW 1989-3,DW 1989-3
696,2,PUUA 1989-1,PUUA 1989-1
698,3,TRCP 1989,TRCP 1989
699,3,TRCP 1989-X,TRCP 1989 - Samples not analyzed
701,3,TR 1989-3,TR 1989-3
704,2,PUUA 1989-2,PUUA 1989-2
714,4,DW 1989-4,DW 1989-4
715,2,RAN 1989-4,RAN 1989-4
716,1,PMN 1989-4,PMN 1989-4
717,5,SW 1989-4,SW 1989-4
720,3,TR 1989-4,TR 1989-4
721,2,PUUA 1989-4,"Plutonium and Uranium Composites, Jul-Dec 1989"
723,1,PMNC 1989-4,PMNC 1989-4
724,4,DWCP 1989,DWCP 1989
725,1,PMN 1990-1,PMN 1990-1
726,4,DW 1990-1,DW 1990-1
727,5,SW 1990-1,SW 1990-1
728,2,RAN 1990-1,RAN 1990-1
731,3,TR 1990-1,TR 1990-1
743,1,PMNC 1990-1,PMNC 1990-1
744,1,PMN 1990-2,PMN 1990-2
745,4,DW 1990-2,DW 1990-2
746,2,RAN 1990-2,RAN 1990-2
747,5,SW 1990-2,SW 1990-2
749,3,TR 1990-2,TR 1990-2
751,2,RAN 1990-3,RAN 1990-3
752,1,PMN 1990-3,PMN 1990-3
753,4,DW 1990-3,DW 1990-3
754,5,SW 1990-3,SW 1990-3
756,1,PMNC 1990-2,PMNC 1990-2
758,3,TR 1990-3,TR 1990-3
759,3,TRCP 1990,TRCP 1990
761,2,RAN 1990-4,RAN 1990-4
762,4,DW 1990-4,DW 1990-4
763,1,PMN 1990-4,PMN 1990-4
764,5,SW 1990-4,SW 1990-4
766,3,TR 1990-4,TR 1990-4
767,4,DW 1991-1,DW 1991-1
768,5,SW 1991-1,SW 1991-1
769,1,PMN 1991-1,PMN 1991-1
770,2,RAN 1991-1,RAN 1991-1
775,3,TR 1991-1,TR 1991-1
776,4,DWCP 1990,DWCP 1990-
777,4,DWCP 1990-4,DWCP 1990-4
782,2,RAN 1991-2,RAN 1991-2
783,5,SW 1991-2,SW 1991-2
784,4,DW 1991-2,DW 1991-2
785,1,PMN 1991-2,PMN 1991-2
787,3,TR 1991-2,TR 1991-2
790,1,PMNC 1990-4,PMNC 1990-4
791,2,RAN 1991-3,RAN 1991-3
792,4,DW 1991-3,DW 1991-3
793,1,PMN 1991-3,PMN 1991-3
794,5,SW 1991-3,SW 1991-3
796,1,PMNC 1991-1,PMNC 1991-1
797,2,PUUA 1990-2,PUUA 1990-2
801,3,TRCP 1991,TRCP 1991
803,2,PUUA 1990-4,PUUA 1990-4
804,3,TR 1991-3,TR 1991-3
807,1,PMNC 1991-2,PMNC 1991-2
811,2,PUUA 1991-2,PUUA 1991-2
812,2,RAN 1991-4,RAN 1991-4
813,1,PMN 1991-4,PMN 1991-4
814,4,DW 1991-4,DW 1991-4
816,5,SW 1991-4,SW 1991-4
818,3,TR 1991-4,TR 1991-4
825,1,PMNC 1991-4,PMNC 1991-4
826,4,DWCP 1991,DWCP 1991
827,2,RAN 1992-1,RAN 1992-1
828,1,PMN 1992-1,PMN 1992-1
829,4,DW 1992-1,DW 1992-1
830,5,SW 1992-1,SW 1992-1
832,2,PUUA 1991-4,PUUA 1991-4
833,3,TR 1992-1,TR 1992-1
835,1,PMN 1992-2,PMN 1992-2
836,4,DW 1992-2,DW 1992-2
837,2,RAN 1992-2,RAN 1992-2
838,5,SW 1992-2,SW 1992-2
840,1,PMNC 1992-1,PMNC 1992-1
844,3,TR 1992-2,TR 1992-2
849,2,RAN 1992-3,RAN 1992-3
850,5,SW 1992-3,SW 1992-3
851,4,DW 1992-3,DW 1992-3
852,1,PMN 1992-3,PMN 1992-3
855,1,PMNC 1992-2,PMNC 1992-2
857,3,TRCP 1992,TRCP 1992
